Regiao,municipio,total_dias,dias_bons,dias_aceitaveis,dias_marginais,extremos,percentual_extremos,calor_extremo,frio_extremo,chuva_extrema,neve,uv_extremo,media_score,media_maxtemp,media_mintemp,media_totalSnow_cm,media_sunHour,media_uvIndex,media_FeelsLikeC,media_HeatIndexC,media_WindChillC,media_humidity,media_precipMM,media_tempC,classificacao_geral
Norte,Vieira do Minho,"366,00","104,00","31,00","231,00","20,00","5,46","7,00","0,00","13,00","0,00","0,00","49,93","19,89","9,81","0,00","8,96","3,77","13,86","14,45","13,82","72,47","4,64","19,89",Marginal
Norte,Vila Flor,"366,00","131,00","46,00","189,00","16,00","4,37","11,00","0,00","5,00","0,00","0,00","56,22","21,96","10,96","0,00","9,20","3,99","15,33","15,83","15,30","74,24","3,37","21,96",Aceitável
Norte,Vila Nova de Cerveira,"366,00","124,00","44,00","198,00","17,00","4,64","3,00","0,00","14,00","0,00","0,00","53,65","20,72","11,00","0,00","8,85","3,97","15,10","15,66","15,02","74,70","5,01","20,72",Aceitável
Norte,Vila Nova de Famalicao,"366,00","135,00","37,00","194,00","11,00","3,01","3,00","0,00","8,00","0,00","0,00","56,45","20,71","11,64","0,00","9,01","4,04","15,37","15,86","15,33","71,90","4,25","20,71",Aceitável
Norte,Vila Nova de Foz Coa,"366,00","90,00","40,00","236,00","12,00","3,28","9,00","0,00","3,00","0,00","0,00","49,46","19,82","10,68","0,00","9,05","3,87","14,32","14,81","14,31","65,66","2,77","19,82",Marginal
Norte,Vila Nova de Gaia,"366,00","159,00","23,00","184,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","60,43","18,87","13,05","0,00","9,17","4,04","15,29","15,98","15,24","73,11","3,87","18,87",Bom
Norte,Vila Pouca de Aguiar,"366,00","90,00","40,00","236,00","12,00","3,28","9,00","0,00","3,00","0,00","0,00","49,46","19,82","10,68","0,00","9,08","3,87","14,32","14,81","14,31","65,66","2,77","19,82",Marginal
Norte,Vila Real,"366,00","90,00","40,00","236,00","12,00","3,28","9,00","0,00","3,00","0,00","0,00","49,46","19,82","10,68","0,00","9,06","3,87","14,32","14,81","14,31","65,66","2,77","19,82",Marginal
Norte,Vila Verde,"366,00","104,00","41,00","221,00","25,00","6,83","9,00","0,00","16,00","0,00","0,00","50,22","20,74","10,55","0,00","9,03","3,97","14,93","15,41","14,84","73,08","5,08","20,74",Aceitável
Norte,Vila do Conde,"366,00","138,00","18,00","210,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","54,81","18,30","13,08","0,00","9,00","3,93","15,00","15,75","14,97","77,14","4,01","18,30",Aceitável
Norte,Vimioso,"366,00","79,00","40,00","247,00","11,00","3,01","11,00","0,00","0,00","0,00","0,00","48,57","19,49","8,87","0,00","9,45","3,66","12,87","13,71","12,92","65,54","2,00","19,49",Marginal
Norte,Vinhais,"366,00","81,00","36,00","249,00","9,00","2,46","8,00","0,00","1,00","0,00","0,00","47,50","19,38","7,80","0,00","9,14","3,54","12,43","13,19","12,48","68,15","2,17","19,38",Marginal
Norte,Vizela,"366,00","112,00","36,00","218,00","17,00","4,64","8,00","0,00","9,00","0,00","0,00","52,16","20,90","10,56","0,00","8,95","3,95","14,78","15,31","14,73","72,01","4,35","20,90",Aceitável
Região Autónoma da Madeira,Calheta [R.A.M.],"366,00","128,00","19,00","219,00","9,00","2,46","0,00","0,00","9,00","0,00","0,00","55,81","17,67","11,42","0,00","8,65","3,57","13,69","14,42","13,66","77,62","3,93","17,67",Aceitável
Região Autónoma da Madeira,Camara de Lobos,"366,00","128,00","19,00","219,00","9,00","2,46","0,00","0,00","9,00","0,00","0,00","55,85","17,67","11,42","0,00","8,66","3,57","13,69","14,42","13,66","77,62","3,93","17,67",Aceitável
Região Autónoma da Madeira,Funchal,"366,00","128,00","19,00","219,00","9,00","2,46","0,00","0,00","9,00","0,00","0,00","55,85","17,67","11,42","0,00","8,67","3,57","13,69","14,42","13,66","77,62","3,93","17,67",Aceitável
Região Autónoma da Madeira,Machico,"366,00","211,00","29,00","126,00","3,00","0,82","0,00","0,00","3,00","0,00","0,00","71,89","20,94","16,85","0,00","8,75","4,56","18,93","19,31","18,61","75,59","2,53","20,94",Muito Bom
Região Autónoma da Madeira,Ponta do Sol,"366,00","128,00","19,00","219,00","9,00","2,46","0,00","0,00","9,00","0,00","0,00","55,81","17,67","11,42","0,00","8,66","3,57","13,69","14,42","13,66","77,62","3,93","17,67",Aceitável
Região Autónoma da Madeira,Porto Moniz,"366,00","128,00","19,00","219,00","9,00","2,46","0,00","0,00","9,00","0,00","0,00","55,81","17,67","11,42","0,00","8,66","3,57","13,69","14,42","13,66","77,62","3,93","17,67",Aceitável
Região Autónoma da Madeira,Porto Santo,"366,00","203,00","25,00","138,00","1,00","0,27","0,00","0,00","1,00","0,00","0,00","69,54","20,09","19,16","0,00","8,75","4,63","20,15","20,50","19,58","75,03","0,94","20,09",Bom
Região Autónoma da Madeira,Ribeira Brava,"366,00","128,00","19,00","219,00","9,00","2,46","0,00","0,00","9,00","0,00","0,00","55,81","17,67","11,42","0,00","8,66","3,57","13,69","14,42","13,66","77,62","3,93","17,67",Aceitável
Região Autónoma da Madeira,Santa Cruz,"366,00","211,00","29,00","126,00","3,00","0,82","0,00","0,00","3,00","0,00","0,00","71,89","20,94","16,85","0,00","8,74","4,56","18,93","19,31","18,61","75,59","2,53","20,94",Muito Bom
Região Autónoma da Madeira,Santana,"366,00","128,00","19,00","219,00","9,00","2,46","0,00","0,00","9,00","0,00","0,00","55,85","17,67","11,42","0,00","8,69","3,57","13,69","14,42","13,66","77,62","3,93","17,67",Aceitável
Região Autónoma da Madeira,Sao Vicente,"366,00","141,00","38,00","187,00","16,00","4,37","1,00","0,00","15,00","0,00","0,00","57,72","20,72","11,63","0,00","9,15","4,02","15,29","15,80","15,26","71,65","4,98","20,72",Aceitável
Região Autónoma dos Açores,Angra do Heroismo,"366,00","147,00","10,00","209,00","14,00","3,83","0,00","0,00","14,00","0,00","0,00","52,83","18,84","15,93","0,00","6,95","4,04","17,07","17,81","16,81","79,75","5,18","18,84",Aceitável
Região Autónoma dos Açores,Calheta [R.A.A.],"366,00","128,00","19,00","219,00","9,00","2,46","0,00","0,00","9,00","0,00","0,00","55,81","17,67","11,42","0,00","8,65","3,57","13,69","14,42","13,66","77,62","3,93","17,67",Aceitável
Região Autónoma dos Açores,Corvo,"366,00","154,00","15,00","197,00","3,00","0,82","0,00","0,00","3,00","0,00","0,00","55,96","19,54","17,73","0,00","6,68","4,26","18,81","19,29","18,28","77,66","5,08","19,54",Aceitável
Região Autónoma dos Açores,Horta,"366,00","160,00","15,00","191,00","8,00","2,19","0,00","0,00","8,00","0,00","0,00","57,16","19,51","17,58","0,00","6,89","4,24","18,66","19,17","18,18","78,33","5,15","19,51",Aceitável
Região Autónoma dos Açores,Lagoa [R.A.A.],"366,00","144,00","52,00","170,00","3,00","0,82","0,00","0,00","3,00","0,00","0,00","61,45","21,69","14,29","0,00","10,09","4,50","17,42","17,98","17,24","70,93","2,15","21,69",Bom
Região Autónoma dos Açores,Lajes das Flores,"366,00","154,00","15,00","197,00","3,00","0,82","0,00","0,00","3,00","0,00","0,00","55,96","19,54","17,73","0,00","6,68","4,26","18,81","19,29","18,28","77,66","5,08","19,54",Aceitável
Região Autónoma dos Açores,Lajes do Pico,"366,00","141,00","13,00","212,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","53,06","18,93","16,60","0,00","6,80","4,11","17,65","18,31","17,28","78,50","4,53","18,93",Aceitável
Região Autónoma dos Açores,Madalena,"366,00","122,00","36,00","208,00","15,00","4,10","6,00","0,00","9,00","0,00","0,00","54,41","20,59","11,29","0,00","9,04","3,99","15,08","15,58","15,03","70,91","4,52","20,59",Aceitável
Região Autónoma dos Açores,Nordeste,"366,00","177,00","6,00","183,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","59,11","19,70","17,01","0,00","7,67","4,28","18,37","18,92","17,96","78,83","3,89","19,70",Aceitável
Região Autónoma dos Açores,Ponta Delgada,"366,00","177,00","6,00","183,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","59,11","19,70","17,01","0,00","7,69","4,28","18,37","18,92","17,96","78,83","3,89","19,70",Aceitável
Região Autónoma dos Açores,Povoacao,"366,00","135,00","37,00","194,00","11,00","3,01","3,00","0,00","8,00","0,00","0,00","56,45","20,71","11,64","0,00","9,00","4,04","15,37","15,86","15,33","71,90","4,25","20,71",Aceitável
Região Autónoma dos Açores,Ribeira Grande,"366,00","160,00","15,00","191,00","8,00","2,19","0,00","0,00","8,00","0,00","0,00","57,12","19,51","17,58","0,00","6,89","4,24","18,66","19,17","18,18","78,33","5,15","19,51",Aceitável
Região Autónoma dos Açores,Santa Cruz da Graciosa,"366,00","141,00","13,00","212,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","53,06","18,93","16,60","0,00","6,80","4,11","17,65","18,31","17,28","78,50","4,53","18,93",Aceitável
Região Autónoma dos Açores,Santa Cruz das Flores,"366,00","154,00","15,00","197,00","3,00","0,82","0,00","0,00","3,00","0,00","0,00","55,96","19,54","17,73","0,00","6,67","4,26","18,81","19,29","18,28","77,66","5,08","19,54",Aceitável
Região Autónoma dos Açores,Sao Roque do Pico,"366,00","141,00","13,00","212,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","53,06","18,93","16,60","0,00","6,80","4,11","17,65","18,31","17,28","78,50","4,53","18,93",Aceitável
Região Autónoma dos Açores,Velas,"366,00","141,00","13,00","212,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","53,06","18,93","16,60","0,00","6,80","4,11","17,65","18,31","17,28","78,50","4,53","18,93",Aceitável
Região Autónoma dos Açores,Vila Franca do Campo,"366,00","177,00","6,00","183,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","59,11","19,70","17,01","0,00","7,68","4,28","18,37","18,92","17,96","78,83","3,89","19,70",Aceitável
Região Autónoma dos Açores,Vila da Praia da Vitoria,"366,00","159,00","8,00","199,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","55,46","19,34","16,12","0,00","6,74","4,07","17,56","18,20","17,23","78,88","3,80","19,34",Aceitável
Região Autónoma dos Açores,Vila do Porto,"366,00","138,00","18,00","210,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","54,81","18,30","13,08","0,00","9,00","3,93","15,00","15,75","14,97","77,14","4,01","18,30",Aceitável
Área Metropolitana de Lisboa,Alcochete,"366,00","156,00","50,00","160,00","4,00","1,09","3,00","0,00","1,00","0,00","0,00","63,45","21,83","13,55","0,00","9,71","4,37","16,77","17,42","16,69","71,78","2,18","21,83",Bom
Área Metropolitana de Lisboa,Almada,"366,00","162,00","42,00","162,00","3,00","0,82","1,00","0,00","2,00","0,00","0,00","64,08","21,59","13,94","0,00","9,76","4,40","16,97","17,55","16,89","71,74","2,23","21,59",Bom
Área Metropolitana de Lisboa,Amadora,"366,00","163,00","27,00","176,00","10,00","2,73","5,00","0,00","5,00","0,00","2,00","62,10","21,29","13,79","0,00","9,54","4,33","16,74","17,32","16,66","69,25","2,49","21,29",Bom
Área Metropolitana de Lisboa,Barreiro,"366,00","162,00","42,00","162,00","3,00","0,82","1,00","0,00","2,00","0,00","0,00","64,08","21,59","13,94","0,00","9,76","4,40","16,97","17,55","16,89","71,74","2,23","21,59",Bom
Área Metropolitana de Lisboa,Cascais,"366,00","176,00","17,00","173,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","61,59","19,44","14,90","0,00","9,74","4,28","16,50","17,18","16,44","77,04","2,67","19,44",Bom
Área Metropolitana de Lisboa,Lisboa,"366,00","166,00","35,00","165,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","63,92","21,16","14,00","0,00","9,66","4,34","16,71","17,33","16,64","71,08","2,49","21,16",Bom
Área Metropolitana de Lisboa,Loures,"366,00","166,00","35,00","165,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","63,92","21,16","14,00","0,00","9,66","4,34","16,71","17,33","16,64","71,08","2,49","21,16",Bom
Área Metropolitana de Lisboa,Mafra,"366,00","174,00","21,00","171,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","62,32","19,59","13,09","0,00","9,38","4,03","15,38","16,28","15,36","76,49","2,77","19,59",Bom
Área Metropolitana de Lisboa,Moita,"366,00","156,00","50,00","160,00","4,00","1,09","3,00","0,00","1,00","0,00","0,00","63,45","21,83","13,55","0,00","9,71","4,37","16,77","17,42","16,69","71,78","2,18","21,83",Bom
Área Metropolitana de Lisboa,Montijo,"366,00","156,00","50,00","160,00","4,00","1,09","3,00","0,00","1,00","0,00","0,00","63,41","21,83","13,55","0,00","9,71","4,37","16,77","17,42","16,69","71,78","2,18","21,83",Bom
Área Metropolitana de Lisboa,Odivelas,"366,00","166,00","35,00","165,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","63,92","21,16","14,00","0,00","9,66","4,34","16,71","17,33","16,64","71,08","2,49","21,16",Bom
Área Metropolitana de Lisboa,Oeiras,"366,00","178,00","24,00","164,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","64,83","20,32","14,40","0,00","9,61","4,34","16,61","17,33","16,55","72,78","2,65","20,32",Bom
Área Metropolitana de Lisboa,Palmela,"366,00","144,00","58,00","164,00","9,00","2,46","5,00","0,00","4,00","0,00","0,00","60,58","22,02","13,43","0,00","9,53","4,35","16,75","17,42","16,68","71,64","2,51","22,02",Bom
Área Metropolitana de Lisboa,Seixal,"366,00","174,00","21,00","171,00","2,00","0,55","0,00","0,00","2,00","0,00","0,00","62,32","19,59","13,09","0,00","9,38","4,03","15,38","16,28","15,36","76,49","2,77","19,59",Bom
Área Metropolitana de Lisboa,Sesimbra,"366,00","144,00","58,00","164,00","9,00","2,46","5,00","0,00","4,00","0,00","0,00","60,58","22,02","13,43","0,00","9,54","4,35","16,75","17,42","16,68","71,64","2,51","22,02",Bom
Área Metropolitana de Lisboa,Setubal,"366,00","144,00","58,00","164,00","9,00","2,46","5,00","0,00","4,00","0,00","0,00","60,58","22,02","13,43","0,00","9,54","4,35","16,75","17,42","16,68","71,64","2,51","22,02",Bom
Área Metropolitana de Lisboa,Sintra,"366,00","178,00","20,00","168,00","5,00","1,37","0,00","0,00","5,00","0,00","0,00","63,32","19,73","13,37","0,00","9,62","4,11","15,60","16,53","15,55","75,31","2,96","19,73",Bom
Área Metropolitana de Lisboa,Vila Franca de Xira,"366,00","145,00","39,00","182,00","10,00","2,73","8,00","0,00","2,00","0,00","0,00","60,11","21,87","12,71","0,00","9,61","4,22","16,11","16,76","16,08","72,35","2,25","21,87",Bom
