date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-11-23,28,19,0.0,8.7,6,10,03:36 AM,03:48 PM,06:48 AM,05:43 PM,18,24,24,23,13,11,77,0.2,1015,28,10,161,8,Cuba
2019-11-24,26,21,0.0,8.7,6,3,04:37 AM,04:30 PM,06:49 AM,05:43 PM,19,25,25,24,10,9,77,0.0,1014,26,10,268,7,Cuba
2019-11-25,26,21,0.0,5.6,5,0,05:40 AM,05:15 PM,06:50 AM,05:43 PM,20,25,25,23,9,53,81,2.0,1013,26,10,130,6,Cuba
2019-11-26,28,21,0.0,8.7,6,0,06:43 AM,06:02 PM,06:50 AM,05:43 PM,20,25,25,24,21,16,82,0.7,1014,28,9,79,13,Cuba
2019-11-27,28,20,0.0,8.7,6,0,07:46 AM,06:52 PM,06:51 AM,05:43 PM,20,25,25,23,22,10,83,0.1,1018,28,10,73,14,Cuba
2019-11-28,27,22,0.0,8.7,6,4,08:45 AM,07:46 PM,06:52 AM,05:43 PM,21,26,26,24,25,21,84,0.5,1019,27,9,64,16,Cuba
2019-11-29,26,21,0.0,8.7,6,12,09:42 AM,08:40 PM,06:52 AM,05:43 PM,19,25,25,23,24,13,78,0.0,1018,26,10,76,15,Cuba
2019-11-30,27,20,0.0,8.7,6,20,10:33 AM,09:36 PM,06:53 AM,05:43 PM,19,23,23,22,23,23,82,0.0,1015,27,10,74,14,Cuba
2019-12-01,28,18,0.0,8.7,6,26,11:20 AM,10:30 PM,06:54 AM,05:43 PM,19,24,24,23,12,14,81,0.0,1015,28,10,139,8,Cuba
2019-12-02,27,20,0.0,5.6,5,33,12:02 PM,11:23 PM,06:54 AM,05:43 PM,20,25,25,23,16,61,81,1.4,1015,27,10,285,11,Cuba
2019-12-03,23,19,0.0,8.7,6,41,12:39 PM,No moonset,06:55 AM,05:43 PM,15,21,22,21,20,36,70,0.0,1015,23,10,330,12,Cuba
2019-12-04,23,17,0.0,7.2,5,48,01:15 PM,12:14 AM,06:56 AM,05:44 PM,14,20,21,20,15,44,70,0.1,1015,23,10,322,10,Cuba
2019-12-05,23,18,0.0,4.1,5,55,01:48 PM,01:04 AM,06:56 AM,05:44 PM,14,21,22,21,11,61,65,0.0,1018,23,10,37,7,Cuba
2019-12-06,24,18,0.0,7.2,5,62,02:20 PM,01:54 AM,06:57 AM,05:44 PM,17,22,22,21,15,55,78,0.3,1020,24,10,81,9,Cuba
2019-12-07,24,18,0.0,8.7,6,70,02:53 PM,02:43 AM,06:58 AM,05:44 PM,16,21,21,21,15,37,76,0.0,1020,24,10,46,9,Cuba
2019-12-08,26,18,0.0,8.7,6,77,03:28 PM,03:35 AM,06:58 AM,05:44 PM,17,22,22,22,17,17,77,0.0,1019,26,10,83,11,Cuba
2019-12-09,29,19,0.0,8.7,6,84,04:05 PM,04:27 AM,06:59 AM,05:45 PM,19,24,24,23,17,2,79,0.2,1017,29,10,95,11,Cuba
2019-12-10,29,21,0.0,8.7,7,92,04:46 PM,05:22 AM,07:00 AM,05:45 PM,21,26,26,24,15,12,84,0.2,1017,29,9,141,10,Cuba
2019-12-11,30,22,0.0,8.7,6,99,05:32 PM,06:19 AM,07:00 AM,05:45 PM,21,27,27,25,13,11,83,4.1,1019,30,10,76,8,Cuba
2019-12-12,28,21,0.0,8.7,5,100,06:23 PM,07:18 AM,07:01 AM,05:45 PM,20,25,25,23,26,17,85,1.7,1018,28,9,79,17,Cuba
2019-12-13,27,20,0.0,8.7,6,87,07:20 PM,08:17 AM,07:02 AM,05:46 PM,19,24,24,23,14,5,78,0.0,1014,27,10,145,9,Cuba
2019-12-14,28,20,0.0,8.7,7,79,08:20 PM,09:15 AM,07:02 AM,05:46 PM,20,25,25,24,9,12,80,0.5,1013,28,10,253,6,Cuba
2019-12-15,28,21,0.0,7.1,5,72,09:23 PM,10:09 AM,07:03 AM,05:47 PM,21,26,26,24,19,46,85,1.5,1017,28,10,49,12,Cuba
2019-12-16,29,20,0.0,7.1,6,65,10:25 PM,10:59 AM,07:03 AM,05:47 PM,21,26,26,24,20,26,84,1.4,1017,29,10,100,12,Cuba
2019-12-17,29,22,0.0,8.7,7,58,11:28 PM,11:45 AM,07:04 AM,05:47 PM,21,27,27,24,14,29,84,0.8,1014,29,10,147,8,Cuba
2019-12-18,28,20,0.0,5.5,5,50,No moonrise,12:27 PM,07:05 AM,05:48 PM,21,25,25,23,17,59,89,47.0,1013,28,7,209,9,Cuba
2019-12-19,23,20,0.0,3.9,5,43,12:28 AM,01:08 PM,07:05 AM,05:48 PM,20,24,24,22,30,89,93,22.4,1017,23,8,34,20,Cuba
2019-12-20,26,21,0.0,8.7,5,36,01:28 AM,01:47 PM,07:06 AM,05:49 PM,21,26,26,23,30,40,90,20.8,1017,26,8,81,17,Cuba
2019-12-21,26,21,0.0,5.5,5,28,02:28 AM,02:27 PM,07:06 AM,05:49 PM,21,26,26,23,33,51,89,12.3,1017,26,9,96,20,Cuba
2019-12-22,27,21,0.0,5.5,5,21,03:28 AM,03:09 PM,07:07 AM,05:50 PM,21,26,26,23,24,61,89,12.4,1015,27,9,142,15,Cuba
2019-12-23,25,20,0.0,3.9,5,14,04:29 AM,03:53 PM,07:07 AM,05:50 PM,20,24,24,22,24,63,86,13.6,1012,25,9,287,15,Cuba
2019-12-24,23,19,0.0,8.7,5,7,05:30 AM,04:41 PM,07:08 AM,05:51 PM,17,21,22,21,27,52,81,2.0,1012,23,10,302,16,Cuba
2019-12-25,23,19,0.0,3.9,5,0,06:30 AM,05:33 PM,07:08 AM,05:51 PM,18,21,23,21,15,65,80,1.2,1013,23,10,186,9,Cuba
2019-12-26,26,20,0.0,5.5,5,0,07:29 AM,06:27 PM,07:09 AM,05:52 PM,19,24,24,22,14,55,84,2.4,1014,26,10,94,9,Cuba
2019-12-27,27,20,0.0,8.7,6,0,08:22 AM,07:23 PM,07:09 AM,05:52 PM,20,24,24,23,17,13,82,0.8,1015,27,10,139,10,Cuba
2019-12-28,29,21,0.0,8.7,7,8,09:12 AM,08:18 PM,07:09 AM,05:53 PM,20,25,25,24,14,7,82,0.1,1015,29,10,129,8,Cuba
2019-12-29,28,20,0.0,8.7,6,15,09:56 AM,09:12 PM,07:10 AM,05:54 PM,21,26,26,24,16,11,84,0.1,1015,28,8,138,10,Cuba
2019-12-30,29,21,0.0,8.7,7,22,10:36 AM,10:05 PM,07:10 AM,05:54 PM,21,27,27,25,12,10,81,0.0,1014,29,10,141,7,Cuba
2019-12-31,27,21,0.0,8.7,6,26,11:12 AM,10:56 PM,07:10 AM,05:55 PM,21,26,26,24,18,19,83,0.1,1016,27,10,20,12,Cuba
2020-01-01,27,21,0.0,7.1,5,37,11:47 AM,11:46 PM,07:11 AM,05:55 PM,20,25,25,23,14,51,84,0.7,1016,27,10,50,9,Cuba
2020-01-02,27,20,0.0,8.7,5,44,12:19 PM,No moonset,07:11 AM,05:56 PM,20,25,25,23,22,19,85,0.0,1015,27,8,129,14,Cuba
2020-01-03,28,21,0.0,8.7,6,51,12:51 PM,12:34 AM,07:11 AM,05:57 PM,21,27,27,24,28,35,86,0.8,1016,28,10,143,18,Cuba
2020-01-04,28,22,0.0,8.7,6,59,01:25 PM,01:25 AM,07:12 AM,05:57 PM,22,27,27,25,26,43,85,5.7,1019,28,7,192,16,Cuba
2020-01-05,20,17,0.0,8.7,4,66,02:00 PM,02:15 AM,07:12 AM,05:58 PM,14,20,20,20,38,40,73,3.8,1022,20,10,33,25,Cuba
2020-01-06,22,17,0.0,3.9,5,73,02:39 PM,03:08 AM,07:12 AM,05:59 PM,14,19,20,19,24,58,74,0.3,1021,22,10,62,15,Cuba
2020-01-07,23,18,0.0,3.9,5,80,03:22 PM,04:04 AM,07:12 AM,05:59 PM,15,20,20,20,18,69,76,1.0,1021,23,10,50,12,Cuba
2020-01-08,22,17,0.0,7.0,5,88,04:11 PM,05:02 AM,07:12 AM,06:00 PM,15,19,20,19,32,51,75,0.2,1023,22,10,47,19,Cuba
2020-01-09,26,18,0.0,7.0,5,95,05:06 PM,06:02 AM,07:13 AM,06:01 PM,18,23,23,22,33,43,81,1.0,1022,26,10,87,21,Cuba
2020-01-10,27,21,0.0,10.9,5,100,06:05 PM,07:02 AM,07:13 AM,06:01 PM,20,26,26,24,37,32,81,0.1,1020,27,10,96,23,Cuba
2020-01-11,28,21,0.0,10.9,6,100,07:09 PM,07:59 AM,07:13 AM,06:02 PM,20,26,26,24,31,12,79,0.0,1019,28,10,128,19,Cuba
2020-01-12,28,20,0.0,10.9,5,83,08:14 PM,08:52 AM,07:13 AM,06:03 PM,20,25,25,24,20,15,81,0.0,1020,28,9,127,13,Cuba
2020-01-13,27,21,0.0,8.5,5,76,09:19 PM,09:41 AM,07:13 AM,06:03 PM,20,25,25,23,29,38,81,2.2,1021,27,10,94,18,Cuba
2020-01-14,27,21,0.0,8.5,5,69,10:21 PM,10:26 AM,07:13 AM,06:04 PM,19,25,25,23,31,26,80,0.2,1021,27,10,90,19,Cuba
2020-01-15,26,18,0.0,10.9,6,61,11:23 PM,11:08 AM,07:13 AM,06:05 PM,18,23,23,22,29,5,80,0.0,1021,26,10,86,18,Cuba
2020-01-16,25,18,0.0,10.9,6,54,No moonrise,11:48 AM,07:13 AM,06:06 PM,18,22,22,21,26,12,82,0.0,1022,25,10,72,16,Cuba
2020-01-17,25,19,0.0,10.9,5,47,12:23 AM,12:27 PM,07:13 AM,06:06 PM,18,23,23,22,31,25,80,0.1,1022,25,10,76,19,Cuba
2020-01-18,26,20,0.0,5.5,5,40,01:23 AM,01:08 PM,07:13 AM,06:07 PM,19,23,23,22,32,52,81,2.4,1021,26,10,93,20,Cuba
2020-01-19,28,19,0.0,11.0,6,32,02:22 AM,01:51 PM,07:13 AM,06:08 PM,19,24,24,23,21,33,80,0.1,1018,28,10,112,13,Cuba
2020-01-20,26,20,0.0,7.0,5,25,03:22 AM,02:36 PM,07:13 AM,06:08 PM,19,23,23,22,21,61,84,7.7,1018,26,9,43,13,Cuba
2020-01-21,21,17,0.0,8.5,4,18,04:21 AM,03:26 PM,07:13 AM,06:09 PM,13,19,19,19,34,62,71,0.4,1019,21,10,122,24,Cuba
2020-01-22,16,11,0.0,11.0,4,11,05:19 AM,04:18 PM,07:12 AM,06:10 PM,8,13,14,13,33,30,66,0.5,1019,16,10,73,22,Cuba
2020-01-23,23,15,0.0,5.5,5,3,06:14 AM,05:13 PM,07:12 AM,06:10 PM,15,19,20,19,18,72,76,2.5,1017,23,10,67,11,Cuba
2020-01-24,24,16,0.0,11.0,6,0,07:05 AM,06:08 PM,07:12 AM,06:11 PM,15,20,21,20,11,28,77,0.2,1016,24,10,240,6,Cuba
2020-01-25,24,17,0.0,8.6,5,0,07:51 AM,07:02 PM,07:12 AM,06:12 PM,17,21,22,21,17,53,79,0.3,1017,24,10,67,12,Cuba
2020-01-26,24,19,0.0,5.5,5,4,08:32 AM,07:56 PM,07:12 AM,06:12 PM,18,21,22,21,18,74,82,0.9,1017,24,10,39,12,Cuba
2020-01-27,26,18,0.0,8.6,5,11,09:10 AM,08:47 PM,07:11 AM,06:13 PM,18,22,22,21,14,46,82,1.8,1015,26,10,140,9,Cuba
2020-01-28,27,19,0.0,7.0,5,18,09:45 AM,09:38 PM,07:11 AM,06:14 PM,19,24,24,23,16,68,80,10.6,1013,27,9,222,9,Cuba
2020-01-29,27,21,0.0,10.1,6,26,10:18 AM,10:27 PM,07:11 AM,06:15 PM,19,25,25,23,8,26,80,0.2,1013,27,10,199,6,Cuba
2020-01-30,26,20,0.0,8.6,5,33,10:50 AM,11:16 PM,07:10 AM,06:15 PM,20,24,24,23,15,62,86,2.7,1014,26,7,175,9,Cuba
2020-01-31,26,20,0.0,11.1,5,37,11:23 AM,No moonset,07:10 AM,06:16 PM,20,24,24,23,22,45,85,0.0,1015,26,7,147,14,Cuba
2020-02-01,28,21,0.0,8.6,5,49,11:57 AM,12:06 AM,07:10 AM,06:17 PM,20,26,26,24,25,49,83,6.2,1016,28,10,241,16,Cuba
2020-02-02,21,17,0.0,11.1,4,57,12:33 PM,12:57 AM,07:09 AM,06:17 PM,14,19,20,19,32,35,70,1.2,1020,21,10,152,21,Cuba
2020-02-03,25,16,0.0,10.1,6,64,01:13 PM,01:50 AM,07:09 AM,06:18 PM,13,20,21,20,16,13,69,0.0,1020,25,10,85,10,Cuba
2020-02-04,26,17,0.0,10.1,5,72,01:58 PM,02:46 AM,07:08 AM,06:18 PM,17,22,22,21,20,24,79,0.0,1018,26,10,130,12,Cuba
2020-02-05,28,20,0.0,11.1,5,79,02:49 PM,03:44 AM,07:08 AM,06:19 PM,20,25,25,23,27,43,82,0.1,1015,28,10,141,17,Cuba
2020-02-06,28,22,0.0,11.1,6,87,03:46 PM,04:43 AM,07:07 AM,06:20 PM,21,27,27,25,43,29,81,0.4,1011,28,10,165,29,Cuba
2020-02-07,24,16,0.0,5.6,5,95,04:48 PM,05:42 AM,07:07 AM,06:20 PM,18,21,22,21,36,62,82,15.3,1015,24,8,137,22,Cuba
2020-02-08,25,17,0.0,7.1,5,100,05:54 PM,06:37 AM,07:06 AM,06:21 PM,19,23,23,22,25,74,83,0.3,1020,25,10,50,17,Cuba
2020-02-09,27,21,0.0,5.6,5,100,07:00 PM,07:30 AM,07:06 AM,06:22 PM,20,25,25,23,31,82,84,26.3,1020,27,8,75,17,Cuba
2020-02-10,28,21,0.0,11.2,7,83,08:06 PM,08:18 AM,07:05 AM,06:22 PM,19,25,25,24,22,16,78,0.0,1019,28,10,135,14,Cuba
2020-02-11,29,21,0.0,10.1,6,75,09:11 PM,09:02 AM,07:05 AM,06:23 PM,21,26,26,24,16,36,83,0.2,1018,29,10,136,10,Cuba
2020-02-12,28,21,0.0,10.1,6,68,10:13 PM,09:45 AM,07:04 AM,06:23 PM,21,27,27,24,17,33,85,0.5,1016,28,8,137,12,Cuba
2020-02-13,28,20,0.0,11.2,6,60,11:15 PM,10:25 AM,07:03 AM,06:24 PM,21,26,26,24,18,12,82,0.0,1016,28,9,146,13,Cuba
2020-02-14,30,23,0.0,11.2,7,53,No moonrise,11:07 AM,07:03 AM,06:25 PM,21,28,28,25,11,7,78,0.0,1019,30,10,119,7,Cuba
2020-02-15,28,21,0.0,11.2,6,45,12:16 AM,11:50 AM,07:02 AM,06:25 PM,20,26,26,24,21,21,79,0.2,1019,28,10,61,14,Cuba
2020-02-16,29,20,0.0,11.3,7,38,01:17 AM,12:35 PM,07:01 AM,06:26 PM,19,26,26,25,17,8,75,0.0,1018,29,10,91,11,Cuba
2020-02-17,30,20,0.0,11.3,6,30,02:16 AM,01:23 PM,07:01 AM,06:26 PM,19,26,26,25,20,20,76,0.1,1016,30,9,85,13,Cuba
2020-02-18,31,20,0.0,10.1,7,22,03:15 AM,02:14 PM,07:00 AM,06:27 PM,20,26,26,25,22,26,77,0.1,1017,31,10,98,14,Cuba
2020-02-19,30,21,0.0,11.6,6,15,04:09 AM,03:07 PM,06:59 AM,06:27 PM,20,27,27,25,21,6,79,0.0,1018,30,9,80,14,Cuba
2020-02-20,31,21,0.0,11.6,6,7,05:01 AM,04:01 PM,06:59 AM,06:28 PM,20,28,28,25,16,16,79,0.0,1018,31,8,114,11,Cuba
2020-02-21,27,20,0.0,8.7,5,0,05:48 AM,04:56 PM,06:58 AM,06:28 PM,20,26,26,23,26,64,82,1.0,1018,27,10,230,18,Cuba
2020-02-22,22,18,0.0,5.9,5,0,06:30 AM,05:49 PM,06:57 AM,06:29 PM,16,20,21,20,33,74,77,3.5,1020,22,10,20,23,Cuba
2020-02-23,25,17,0.0,7.3,5,0,07:09 AM,06:41 PM,06:56 AM,06:29 PM,16,21,21,21,27,60,74,1.1,1019,25,10,77,18,Cuba
2020-02-24,27,18,0.0,11.6,6,0,07:45 AM,07:32 PM,06:56 AM,06:30 PM,17,23,23,22,23,17,76,0.1,1016,27,10,130,16,Cuba
2020-02-25,28,19,0.0,8.7,5,8,08:18 AM,08:21 PM,06:55 AM,06:30 PM,19,25,25,23,24,34,79,0.2,1014,28,10,139,17,Cuba
2020-02-26,30,22,0.0,5.9,6,15,08:50 AM,09:11 PM,06:54 AM,06:31 PM,21,27,27,25,18,59,79,3.4,1015,30,7,205,12,Cuba
2020-02-27,21,17,0.0,5.9,4,23,09:23 AM,10:00 PM,06:53 AM,06:31 PM,16,20,21,20,35,72,77,0.8,1020,21,10,54,24,Cuba
2020-02-28,20,16,0.0,11.6,5,30,09:56 AM,10:50 PM,06:52 AM,06:32 PM,11,18,18,18,31,40,67,0.0,1022,20,10,6,22,Cuba
2020-02-29,20,17,0.0,7.3,4,38,10:30 AM,11:42 PM,06:51 AM,06:32 PM,11,18,18,18,30,40,63,0.2,1025,20,10,120,20,Cuba
2020-03-01,23,15,0.0,11.6,5,44,11:08 AM,No moonset,06:51 AM,06:33 PM,10,18,19,18,28,2,59,0.0,1023,23,10,64,18,Cuba
2020-03-02,26,15,0.0,11.6,6,51,11:50 AM,12:35 AM,06:50 AM,06:33 PM,14,20,21,20,25,1,67,0.0,1019,26,10,129,16,Cuba
2020-03-03,28,18,0.0,11.6,5,58,12:36 PM,01:31 AM,06:49 AM,06:34 PM,19,24,24,23,20,9,80,0.0,1016,28,8,136,14,Cuba
2020-03-04,30,21,0.0,11.6,7,65,01:29 PM,02:27 AM,06:48 AM,06:34 PM,20,26,26,25,18,5,77,0.0,1016,30,9,141,13,Cuba
2020-03-05,30,22,0.0,11.6,6,73,02:27 PM,03:25 AM,06:47 AM,06:35 PM,22,28,28,25,20,43,81,0.0,1017,30,6,165,15,Cuba
2020-03-06,28,21,0.0,8.8,6,80,03:31 PM,04:21 AM,06:46 AM,06:35 PM,21,26,26,24,22,48,83,2.7,1018,28,9,226,15,Cuba
2020-03-07,22,14,0.0,11.6,5,87,04:36 PM,05:15 AM,06:45 AM,06:35 PM,14,19,20,19,38,35,70,0.0,1021,22,10,32,26,Cuba
2020-03-08,22,17,0.0,8.8,5,95,05:43 PM,06:04 AM,06:44 AM,06:36 PM,13,19,20,19,35,69,69,0.6,1024,22,10,74,24,Cuba
2020-03-09,25,17,0.0,7.4,5,100,06:49 PM,06:51 AM,06:43 AM,06:36 PM,14,20,21,20,33,54,69,0.6,1024,25,10,88,21,Cuba
2020-03-10,26,18,0.0,7.4,5,100,07:55 PM,07:35 AM,06:42 AM,06:37 PM,16,22,22,22,30,42,71,0.5,1023,26,10,81,20,Cuba
2020-03-11,27,18,0.0,11.6,6,84,08:59 PM,08:17 AM,06:41 AM,06:37 PM,16,23,23,22,24,21,72,0.0,1019,27,10,70,16,Cuba
2020-03-12,27,19,0.0,8.8,5,76,10:03 PM,09:00 AM,06:40 AM,06:38 PM,18,24,24,23,23,40,77,0.5,1016,27,10,68,15,Cuba
2020-03-13,28,20,0.0,11.6,6,69,11:07 PM,09:44 AM,06:39 AM,06:38 PM,18,24,24,23,24,11,76,0.0,1018,28,10,68,16,Cuba
2020-03-14,29,21,0.0,8.8,6,62,No moonrise,10:30 AM,06:39 AM,06:38 PM,19,25,25,24,25,41,78,0.1,1020,29,9,70,17,Cuba
2020-03-15,29,20,0.0,11.6,6,55,12:09 AM,11:19 AM,06:38 AM,06:39 PM,19,25,25,24,25,13,75,0.0,1021,29,9,78,17,Cuba
2020-03-16,28,20,0.0,11.6,6,47,01:09 AM,12:10 PM,06:37 AM,06:39 PM,18,24,24,23,24,13,74,0.0,1020,28,10,73,17,Cuba
2020-03-17,29,19,0.0,11.6,6,40,02:06 AM,01:03 PM,06:36 AM,06:40 PM,18,24,24,24,25,8,74,0.0,1020,29,9,84,17,Cuba
2020-03-18,29,20,0.0,11.6,6,33,02:59 AM,01:57 PM,06:35 AM,06:40 PM,18,25,25,24,26,15,74,0.0,1021,29,8,82,17,Cuba
2020-03-19,30,20,0.0,10.2,6,25,03:47 AM,02:51 PM,06:34 AM,06:40 PM,19,26,26,25,25,34,73,0.0,1021,30,10,94,17,Cuba
2020-03-20,30,20,0.0,11.6,7,18,04:30 AM,03:45 PM,06:33 AM,06:41 PM,18,25,25,24,28,6,72,0.0,1022,30,10,88,19,Cuba
2020-03-21,28,20,0.0,10.2,6,11,05:10 AM,04:37 PM,06:32 AM,06:41 PM,18,25,25,24,27,20,74,0.0,1021,28,10,81,18,Cuba
2020-03-22,28,20,0.0,8.8,5,4,05:46 AM,05:28 PM,06:31 AM,06:41 PM,18,24,24,23,23,31,75,1.1,1020,28,10,78,15,Cuba
2020-03-23,29,19,0.0,11.6,7,0,06:19 AM,06:17 PM,06:30 AM,06:42 PM,17,24,24,23,23,20,72,0.0,1021,29,10,85,15,Cuba
2020-03-24,31,20,0.0,11.6,7,0,06:52 AM,07:07 PM,06:29 AM,06:42 PM,18,26,26,25,18,12,72,0.0,1019,31,10,97,11,Cuba
2020-03-25,32,22,0.0,11.6,7,3,07:24 AM,07:56 PM,06:28 AM,06:43 PM,20,29,29,27,6,3,70,0.0,1016,32,10,169,5,Cuba
2020-03-26,29,21,0.0,11.6,6,11,07:57 AM,08:46 PM,06:27 AM,06:43 PM,20,27,27,25,15,19,75,0.0,1015,29,10,49,11,Cuba
2020-03-27,31,20,0.0,11.6,7,18,08:30 AM,09:37 PM,06:26 AM,06:43 PM,18,26,26,25,21,2,71,0.0,1015,31,10,75,14,Cuba
2020-03-28,32,20,0.0,11.6,6,25,09:07 AM,10:29 PM,06:25 AM,06:44 PM,18,27,27,26,20,8,69,0.0,1016,32,8,109,13,Cuba
2020-03-29,32,20,0.0,11.6,7,32,09:47 AM,11:24 PM,06:24 AM,06:44 PM,18,27,27,26,20,15,70,0.0,1017,32,10,105,14,Cuba
2020-03-30,32,21,0.0,11.6,6,40,10:31 AM,No moonset,06:23 AM,06:44 PM,20,28,28,26,17,25,73,0.0,1017,32,9,91,11,Cuba
2020-03-31,32,21,0.0,11.6,7,44,11:20 AM,12:19 AM,06:22 AM,06:45 PM,19,29,29,27,18,24,71,0.1,1013,32,10,189,12,Cuba
2020-04-01,30,22,0.0,7.5,6,56,12:14 PM,01:15 AM,06:21 AM,06:45 PM,20,27,27,25,21,63,76,4.2,1011,30,10,289,15,Cuba
2020-04-02,28,19,0.0,11.6,6,64,01:14 PM,02:10 AM,06:20 AM,06:46 PM,15,23,23,23,23,6,64,0.0,1014,28,10,125,15,Cuba
2020-04-03,29,19,0.0,11.6,7,71,02:16 PM,03:02 AM,06:19 AM,06:46 PM,16,24,24,23,19,3,68,0.0,1014,29,10,84,13,Cuba
2020-04-04,31,19,0.0,11.6,7,79,03:21 PM,03:52 AM,06:18 AM,06:46 PM,16,26,26,25,20,6,64,0.0,1013,31,10,105,13,Cuba
2020-04-05,31,21,0.0,11.6,6,87,04:26 PM,04:39 AM,06:17 AM,06:47 PM,17,27,27,25,16,15,61,0.0,1015,31,10,114,10,Cuba
2020-04-06,31,23,0.0,11.6,7,94,05:31 PM,05:24 AM,06:16 AM,06:47 PM,20,29,29,26,10,21,71,0.0,1016,31,10,108,8,Cuba
2020-04-07,31,21,0.0,11.6,7,100,06:36 PM,06:06 AM,06:15 AM,06:47 PM,18,28,28,26,18,23,68,0.0,1018,31,10,140,12,Cuba
2020-04-08,32,23,0.0,11.6,7,100,07:42 PM,06:49 AM,06:14 AM,06:48 PM,20,29,29,27,10,6,69,0.0,1015,32,10,144,8,Cuba
2020-04-09,34,24,0.0,11.6,7,83,08:47 PM,07:33 AM,06:14 AM,06:48 PM,19,29,29,28,8,0,64,0.0,1013,34,10,168,6,Cuba
2020-04-10,35,25,0.0,11.6,8,76,09:53 PM,08:19 AM,06:13 AM,06:49 PM,20,32,32,29,7,2,63,0.0,1013,35,10,179,6,Cuba
2020-04-11,35,23,0.0,11.6,7,68,10:57 PM,09:08 AM,06:12 AM,06:49 PM,21,31,31,29,10,11,69,0.0,1014,35,9,95,7,Cuba
2020-04-12,33,23,0.0,11.6,7,61,11:57 PM,10:00 AM,06:11 AM,06:49 PM,20,30,30,28,29,2,66,0.0,1015,33,10,144,21,Cuba
2020-04-13,33,24,0.0,11.6,8,53,No moonrise,10:55 AM,06:10 AM,06:50 PM,22,31,31,29,25,11,73,0.0,1016,33,10,163,18,Cuba
2020-04-14,35,24,0.0,11.6,7,46,12:54 AM,11:50 AM,06:09 AM,06:50 PM,22,32,32,29,9,19,70,0.0,1016,35,8,145,6,Cuba
2020-04-15,34,25,0.0,11.6,8,38,01:45 AM,12:46 PM,06:08 AM,06:51 PM,21,32,32,30,15,5,68,0.0,1014,34,10,177,12,Cuba
2020-04-16,34,25,0.0,10.3,7,30,02:30 AM,01:40 PM,06:07 AM,06:51 PM,22,31,31,29,9,23,69,0.1,1016,34,10,88,7,Cuba
2020-04-17,34,25,0.0,11.6,8,23,03:11 AM,02:33 PM,06:07 AM,06:51 PM,21,31,31,29,11,40,65,0.3,1017,34,10,125,8,Cuba
2020-04-18,35,25,0.0,11.6,8,15,03:48 AM,03:24 PM,06:06 AM,06:52 PM,21,32,32,29,6,22,65,0.0,1016,35,10,144,4,Cuba
2020-04-19,34,25,0.0,11.6,8,8,04:22 AM,04:14 PM,06:05 AM,06:52 PM,20,31,31,29,19,8,63,0.0,1014,34,10,155,14,Cuba
2020-04-20,33,24,0.0,11.6,7,0,04:54 AM,05:03 PM,06:04 AM,06:53 PM,21,31,31,28,29,16,69,0.0,1013,33,10,188,21,Cuba
2020-04-21,34,24,0.0,10.3,8,0,05:27 AM,05:53 PM,06:03 AM,06:53 PM,20,31,31,28,15,30,65,0.4,1014,34,10,218,11,Cuba
2020-04-22,34,24,0.0,11.6,8,0,05:59 AM,06:42 PM,06:03 AM,06:53 PM,21,31,31,29,10,14,66,0.0,1015,34,10,78,7,Cuba
2020-04-23,33,24,0.0,11.6,7,0,06:32 AM,07:34 PM,06:02 AM,06:54 PM,21,30,30,28,29,14,68,0.0,1014,33,10,145,21,Cuba
2020-04-24,33,25,0.0,11.6,7,7,07:08 AM,08:26 PM,06:01 AM,06:54 PM,22,32,32,29,31,26,69,0.0,1013,33,10,172,23,Cuba
2020-04-25,33,25,0.0,12.6,7,15,07:46 AM,09:20 PM,06:00 AM,06:55 PM,22,31,31,29,28,28,70,0.4,1014,33,10,179,20,Cuba
2020-04-26,35,24,0.0,13.0,7,22,08:29 AM,10:15 PM,05:59 AM,06:55 PM,21,31,31,29,13,37,68,0.2,1016,35,10,157,9,Cuba
2020-04-27,31,24,0.0,11.9,6,30,09:16 AM,11:11 PM,05:59 AM,06:56 PM,21,29,29,27,24,54,72,2.7,1017,31,10,29,17,Cuba
2020-04-28,30,23,0.0,9.4,6,37,10:08 AM,No moonset,05:58 AM,06:56 PM,21,28,28,26,25,60,74,0.6,1017,30,10,63,18,Cuba
2020-04-29,33,22,0.0,13.0,6,45,11:05 AM,12:05 AM,05:57 AM,06:56 PM,20,29,29,27,18,37,71,5.3,1015,33,9,124,12,Cuba
2020-04-30,34,24,0.0,10.7,6,52,12:05 PM,12:57 AM,05:57 AM,06:57 PM,21,30,30,28,10,63,68,7.2,1015,34,9,160,6,Cuba
2020-05-01,29,23,0.0,9.4,6,58,01:06 PM,01:46 AM,05:56 AM,06:57 PM,20,28,28,26,19,65,73,0.5,1016,29,10,36,14,Cuba
2020-05-02,30,22,0.0,13.0,7,65,02:09 PM,02:32 AM,05:55 AM,06:58 PM,18,27,27,25,20,27,67,0.0,1018,30,10,47,15,Cuba
2020-05-03,30,22,0.0,13.0,7,72,03:12 PM,03:16 AM,05:55 AM,06:58 PM,19,27,27,26,22,19,68,0.0,1017,30,10,65,16,Cuba
